code;parent;fr;nl;de;alt_fr;alt_nl;alt_de;start;end;exactmatch1
006;;Société coopérative à responsabilité illimitée;Coöperatieve vennootschap met onbeperkte aansprakelijkheid;Genossenschaft mit unbeschränkter Haftung;SCRI;CVOA;Gen.mubH;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/006
007;;Société coopérative à responsabilité illimitée et solidaire, société coopérative de participation;Coöperatieve vennootschap met onbeperkte aansprakelijkheid, bij wijze van deelneming;Genossenschaft mit unbeschränkter gesamtschuldnerischer Haftung, Genossenschaft auf Beteiligung;SCRISCP;CVOACD;GugsHGB;01/01/1800;01/07/1996;
008;;Société coopérative à responsabilité limitée;Coöperatieve vennootschap met beperkte aansprakelijkheid;Genossenschaft mit beschränkter Haftung;SCRL;CVBA;Gen.mbH;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/008
009;;Société coopérative à responsabilité limitée, coopérative de participation;Coöperatieve vennootschap met beperkte aansprakelijkheid, bij wijze van deelneming;Genossenschaft mit beschränkter Haftung, Genossenschaft auf Beteiligung;SCRL CP;CVBA CD;GbHGB;01/01/1800;01/07/1996;
010;;Société privée à responsabilité limitée unipersonnelle;Eenpersoons BVBA;Privatgesellschaft mit beschränkter Haftung mit einem Alleingesellschafter;SPRLU;EBVBA;PGmbHmA;01/01/1800;01/07/2003;
011;;Société en nom collectif;Vennootschap onder firma;Offene Handelsgesellschaft;SNC;V.O.F.;OHG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/011
012;;Société en commandite simple;Gewone commanditaire vennootschap;Einfache Kommanditgesellschaft;SCS;Comm.V;EKG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/012
013;;Société en commandite par actions;Commanditaire vennootschap op aandelen;Kommanditgesellschaft auf Aktien;SCA;Comm.VA;KGaA;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/013
014;;Société anonyme;Naamloze vennootschap;Aktiengesellschaft;SA;NV;AG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/014
015;;Société privée à responsabilité limitée;Besloten vennootschap met beperkte aansprakelijkheid;Privatgesellschaft mit beschränkter Haftung;SPRL;BVBA;PGmbH;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/015
016;;Société coopérative (ancien statut);Coöperatieve vennootschap (oud statuut);Genossenschaft (früheres Statut);SC (AS);CV;Gen.;01/01/1800;30/10/1993;
017;;Association sans but lucratif;Vereniging zonder winstoogmerk;Vereinigung ohne Gewinnerzielungsabsicht;ASBL;VZW;VoG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/017
018;;Etablissement d'utilité publique;Instelling van openbaar nut;Gemeinnützige Einrichtung;EtUtPub;Inst OpN;GemEinri;11/01/1800;30/06/2003;
019;;Mutualité / Société Mutualiste / Union nationale de mutualités;Ziekenfonds / Maatschappij van onderlinge bijstand / Landsbond van ziekenfondsen;Krankenkasse / Gesellschaft auf Gegenseitigkeit / Krankenkassenlandesverband;MUTU;ZIEK F;Kankenka;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/019
020;;Union professionnelle;Beroepsvereniging;Berufsvereinigung;UP;BV;BV;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/020
021;;Association d'assurances mutuelles / Caisse commune d'assurances de droit privé;Onderlinge verzekeringsvereniging / Gemeenschappelijke verzekeringskas van privaat recht;Versicherungsvereinigung auf Gegenseitigkeit / Privatrechtliche Versicherungsgesellschaft;AAM;OVV;PRVGaG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/021
022;;Organisation scientifique internationale de droit belge;Internationale wetenschappelijke organisatie van Belgisch recht;Internationale wissenschaftliche Organisation belgischen Rechts;OSI DB;IWO BR;IWObR;01/01/1800;23/04/2004;http://vocab.belgif.be/auth/orgtype/cbe2003/022
023;;Associations étrangères privées avec établissement, agence, bureau, succursale en Belgique;Buitenlandse privaatrechtelijke verenigingen met vestiging, agentschap, kantoor of bijhuis in België;Privatrechtliche ausländische Vereinigungen mit Niederlassung, Geschäftsstelle, Büro oder Zweigstelle in Belgien;AEP;BPR;PRaV;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/023
025;;Société agricole;Landbouwvennootschap;Landwirtschaftliche Gesellschaft;S. Agr.;LV;LG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/025
026;;Fondation privée;Private stichting;Privatstiftung;FONDPRIV;PRIV ST.;PrSt;02/05/2002;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/026
028;;Institution sans but lucratif;Instelling zonder winstoogmerk;Einrichtung ohne Gewinnerzielungsabsicht;ISBL;IZW;EoG;04/04/2003;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/028
030;;Entreprise étrangère;Buitenlandse onderneming;Ausländische Gesellschaft;ENT E;BO;AGes.;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/030
040;;Société congolaise (loi de 1927);Kongolese vennootschap;Kongolesische Gesellschaft;SOC CONG;KONG VEN;K.G.;01/01/1800;01/07/2003;
051;;Autre forme de droit privé avec personnalité juridique;Andere privaatrechtelijke vorm met rechtspersoonlijkheid;Andere privatrechtliche Rechtsform mit Rechtspersönlichkeit;FDP PJ;PRV;PRRFmRP;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/051
060;;Groupement d'intérêt économique;Economisch samenwerkingsverband ;Wirtschaftliche Interessenvereinigung;GIE;ESV;WIV;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/060
