code;parent;de;fr;nl;start;end;sameAs1;sameAs2;sameAs3
1000;;Belgien;Belgique;België;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE;;
2000;1000;Flämische Region;Région flamande;Vlaams Gewest;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE2;;
3000;1000;Wallonische Region;Région wallonne;Waals Gewest;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE3;;
4000;1000;Region Brüssel-Hauptstadt;Région de Bruxelles-Capitale;Brussels Hoofdstedelijk Gewest;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE1;;
10000;2000;Provinz Antwerpen;Province d’Anvers;Provincie Antwerpen;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE21;;
20000;1000;Provinz Brabant;Province de Brabant;Provincie Brabant;01/01/1970;31/12/1994;;;
20001;2000;Provinz Flämisch-Brabant;Province du Brabant flamand;Provincie Vlaams-Brabant;01/01/1995;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE24;;
20002;3000;Provinz Wallonisch-Brabant;Province du Brabant wallon;Provincie Waals-Brabant;01/01/1995;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE31;;
30000;2000;Provinz Westflandern;Province de Flandre occidentale;Provincie West-Vlaanderen;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE25;;
40000;2000;Provinz Ostflandern;Province de Flandre orientale;Provincie Oost-Vlaanderen;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE23;;
50000;3000;Provinz Hennegau;Province du Hainaut;Provincie Henegouwen;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE32;;
60000;3000;Provinz Lüttich;Province de Liège;Provincie Luik;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE33;;
70000;2000;Provinz Limburg;Province du Limbourg;Provincie Limburg;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE22;;
80000;3000;Provinz Luxemburg;Province du Luxembourg;Provincie Luxemburg;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE34;;
90000;3000;Provinz Namur;Province de Namur;Provincie Namen;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE35;;
11000;10000;Bezirk Antwerpen;Arrondissement d’Anvers;Arrondissement Antwerpen;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE211;;
12000;10000;Bezirk Mechelen;Arrondissement de Malines;Arrondissement Mechelen;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE212;;
13000;10000;Bezirk Turnhout;Arrondissement de Turnhout;Arrondissement Turnhout;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE213;;
21000;4000;Bezirk Brüssel-Hauptstadt;Arrondissement de Bruxelles-Capitale;Arrondissement Brussel-Hoofdstad;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE100;;
23000;20001;Bezirk Halle-Vilvoorde;Arrondissement de Hal-Vilvorde;Arrondissement Halle-Vilvoorde;01/01/1995;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE241;;
23000;20000;Bezirk Halle-Vilvoorde;Arrondissement de Hal-Vilvorde;Arrondissement Halle-Vilvoorde;01/01/1970;31/12/1994;;;
24000;20001;Bezirk Löwen;Arrondissement de Louvain;Arrondissement Leuven;01/01/1995;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE242;;
24000;20000;Bezirk Löwen;Arrondissement de Louvain;Arrondissement Leuven;01/01/1970;31/12/1994;;;
25000;20002;Bezirk Nivelles;Arrondissement de Nivelles;Arrondissement Nijvel;01/01/1995;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE310;;
25000;20000;Bezirk Nivelles;Arrondissement de Nivelles;Arrondissement Nijvel;01/01/1970;31/12/1994;;;
31000;30000;Bezirk Brügge;Arrondissement de Bruges;Arrondissement Brugge;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE251;;
32000;30000;Bezirk Diksmuide;Arrondissement de Dixmude;Arrondissement Diksmuide;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE252;;
33000;30000;Bezirk Ypern;Arrondissement d’Ypres;Arrondissement Ieper;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE253;;
34000;30000;Bezirk Kortrijk;Arrondissement de Courtrai;Arrondissement Kortrijk;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE254;;
35000;30000;Bezirk Ostende;Arrondissement d’Ostende;Arrondissement Oostende;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE255;;
36000;30000;Bezirk Roeselare;Arrondissement de Roulers;Arrondissement Roeselare;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE256;;
37000;30000;Bezirk Tielt;Arrondissement de Tielt;Arrondissement Tielt;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE257;;
38000;30000;Bezirk Veurne;Arrondissement de Furnes;Arrondissement Veurne;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE258;;
41000;40000;Bezirk Aalst;Arrondissement d’Alost;Arrondissement Aalst;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE231;;
42000;40000;Bezirk Dendermonde;Arrondissement de Termonde;Arrondissement Dendermonde;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE232;;
43000;40000;Bezirk Eeklo;Arrondissement d’Eeklo;Arrondissement Eeklo;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE233;;
44000;40000;Bezirk Gent;Arrondissement de Gand;Arrondissement Gent;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE234;;
45000;40000;Bezirk Oudenaarde;Arrondissement d’Audenarde;Arrondissement Oudenaarde;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE235;;
46000;40000;Bezirk Sint-Niklaas;Arrondissement de Saint-Nicolas;Arrondissement Sint-Niklaas;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE236;;
51000;50000;Bezirk Ath;Arrondissement d’Ath;Arrondissement Aat;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE321;;
52000;50000;Bezirk Charleroi;Arrondissement de Charleroi;Arrondissement Charleroi;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE322;;
53000;50000;Bezirk Mons;Arrondissement de Mons;Arrondissement Bergen;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE323;;
54000;50000;Bezirk Mouscron;Arrondissement de Mouscron;Arrondissement Moeskroen;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE324;;
55000;50000;Bezirk Soignies;Arrondissement de Soignies;Arrondissement Zinnik;01/01/1970;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE325;;
