code;parent;de;fr;nl;start;end;sameas1;sameas2;sameas3;exactmatch;broadmatch;narrowmatch;
1000;;Belgien;Belgique;België;01/01/1995;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE;;;http://vocab.belgif.be/auth/refnis1977/1000#id;;;
2000;1000;Flämische Region;Région flamande;Vlaams Gewest;01/01/1995;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE2;;;http://vocab.belgif.be/auth/refnis1977/2000#id;;;
3000;1000;Wallonische Region;Région wallonne;Waals Gewest;01/01/1995;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE3;;;http://vocab.belgif.be/auth/refnis1977/3000#id;;;
4000;1000;Region Brüssel-Hauptstadt;Région de Bruxelles-Capitale;Brussels Hoofdstedelijk Gewest;01/01/1995;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE1;;;http://vocab.belgif.be/auth/refnis1977/4000#id;;;
10000;2000;Provinz Antwerpen;Province d’Anvers;Provincie Antwerpen;01/01/1995;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE21;;;http://vocab.belgif.be/auth/refnis1977/10000#id;;;
20001;2000;Provinz Flämisch-Brabant;Province du Brabant flamand;Provincie Vlaams-Brabant;01/01/1995;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE24;;;;http://vocab.belgif.be/auth/refnis1977/20000#id;;
20002;3000;Provinz Wallonisch-Brabant;Province du Brabant wallon;Provincie Waals-Brabant;01/01/1995;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE31;;;;http://vocab.belgif.be/auth/refnis1977/20000#id;;
30000;2000;Provinz Westflandern;Province de Flandre occidentale;Provincie West-Vlaanderen;01/01/1995;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE25;;;http://vocab.belgif.be/auth/refnis1977/30000#id;;;
40000;2000;Provinz Ostflandern;Province de Flandre orientale;Provincie Oost-Vlaanderen;01/01/1995;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE23;;;http://vocab.belgif.be/auth/refnis1977/40000#id;;;
50000;3000;Provinz Hennegau;Province du Hainaut;Provincie Henegouwen;01/01/1995;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE32;;;http://vocab.belgif.be/auth/refnis1977/50000#id;;;
60000;3000;Provinz Lüttich;Province de Liège;Provincie Luik;01/01/1995;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE33;;;http://vocab.belgif.be/auth/refnis1977/60000#id;;;
70000;2000;Provinz Limburg;Province du Limbourg;Provincie Limburg;01/01/1995;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE22;;;http://vocab.belgif.be/auth/refnis1977/70000#id;;;
80000;3000;Provinz Luxemburg;Province du Luxembourg;Provincie Luxemburg;01/01/1995;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE34;;;http://vocab.belgif.be/auth/refnis1977/80000#id;;;
90000;3000;Provinz Namur;Province de Namur;Provincie Namen;01/01/1995;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE35;;;http://vocab.belgif.be/auth/refnis1977/90000#id;;;
11000;10000;Bezirk Antwerpen;Arrondissement d’Anvers;Arrondissement Antwerpen;01/01/1995;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE211;;;http://vocab.belgif.be/auth/refnis1977/11000#id;;;
12000;10000;Bezirk Mechelen;Arrondissement de Malines;Arrondissement Mechelen;01/01/1995;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE212;;;http://vocab.belgif.be/auth/refnis1977/12000#id;;;
13000;10000;Bezirk Turnhout;Arrondissement de Turnhout;Arrondissement Turnhout;01/01/1995;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE213;;;http://vocab.belgif.be/auth/refnis1977/13000#id;;;
21000;4000;Bezirk Brüssel-Hauptstadt;Arrondissement de Bruxelles-Capitale;Arrondissement Brussel-Hoofdstad;01/01/1995;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE100;;;http://vocab.belgif.be/auth/refnis1977/21000#id;;;
23000;20001;Bezirk Halle-Vilvoorde;Arrondissement de Hal-Vilvorde;Arrondissement Halle-Vilvoorde;01/01/1995;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE241;;;http://vocab.belgif.be/auth/refnis1977/23000#id;;;
24000;20001;Bezirk Löwen;Arrondissement de Louvain;Arrondissement Leuven;01/01/1995;31/12/9999;http://rdfdata.eionet.europa.eu/ramon/nuts2008/BE242;;;http://vocab.belgif.be/auth/refnis1977/24000#id;;;
